rho,capacity,delta,quantizer,preload_all_absolute_policy_gap,preload_all_critical_collision_rate,preload_all_total_collision_rate,schedule_next_after_transition_absolute_policy_gap,schedule_next_after_transition_critical_collision_rate,schedule_next_after_transition_total_collision_rate,robustness_difference_absolute_policy_gap,robustness_difference_critical_collision_rate,robustness_difference_total_collision_rate,comparison_label
0.8,8,0.0003,nearest,4.0000000000000684e-06,1.2e-05,0.0004898636947254428,4.0000000000000684e-06,1.2e-05,0.0004898636947254428,0.0,0.0,0.0,robustness only; not primary observations
0.5,4,0.03,ceiling,0.0005093333333333334,0.000986,0.022290817554574047,0.0005093333333333334,0.0009713333333333333,0.022290817554574047,0.0,-1.4666666666666626e-05,0.0,robustness only; not primary observations
1.25,1,0.01,ceiling,0.0024700000000000017,0.005547333333333334,0.016191233380820073,0.0024700000000000017,0.005547333333333334,0.016191233380820073,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,0.03,ceiling,0.0010933333333333305,0.007305000000000001,0.046282411551894324,0.0010933333333333305,0.007202,0.046282411551894324,0.0,-0.00010300000000000066,0.0,robustness only; not primary observations
0.5,1,0.0003,ceiling,4.999999999999449e-05,7.000000000000001e-05,0.00016885152285515994,4.999999999999449e-05,7e-05,0.00016885152285515994,0.0,-1.3552527156068805e-20,0.0,robustness only; not primary observations
0.5,4,0.001,floor,1.9333333333332893e-05,3.366666666666667e-05,0.0017212055972672087,1.9333333333332893e-05,3.366666666666667e-05,0.0017212055972672087,0.0,0.0,0.0,robustness only; not primary observations
1.0,1,0.03,ceiling,0.0074193333333333255,0.014584333333333333,0.03913823664561246,0.0074193333333333255,0.014584333333333333,0.03913823664561246,0.0,0.0,0.0,robustness only; not primary observations
0.5,16,0.0003,nearest,0.0,0.0,0.00039966949676276743,0.0,0.0,0.00039966949676276743,0.0,0.0,0.0,robustness only; not primary observations
0.8,4,0.0003,nearest,1.4000000000000123e-05,3.066666666666667e-05,0.00045398683832979206,1.4000000000000123e-05,3.066666666666667e-05,0.00045398683832979206,0.0,0.0,0.0,robustness only; not primary observations
0.95,4,0.003,nearest,0.00014533333333333157,0.0005593333333333333,0.005554145826339488,0.00014533333333333157,0.000558,0.005554145826339488,0.0,-1.3333333333333296e-06,0.0,robustness only; not primary observations
1.0,8,1e-05,floor,1.333333333333279e-06,1.3333333333333334e-06,2.47045633738387e-05,1.333333333333279e-06,1.3333333333333334e-06,2.47045633738387e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,16,0.1,floor,0.0008980000000000016,0.007924,0.22480248887957088,0.0008980000000000016,0.007536,0.22480248887957088,0.0,-0.0003880000000000003,0.0,robustness only; not primary observations
0.95,16,0.0001,ceiling,4.666666666666708e-06,2.666666666666667e-06,0.00013657248636569677,4.666666666666708e-06,2.666666666666667e-06,0.00013657248636569677,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,0.003,nearest,9.666666666666665e-05,0.00025833333333333334,0.005618362128777885,9.666666666666665e-05,0.0002576666666666667,0.005618362128777885,0.0,-6.666666666666648e-07,0.0,robustness only; not primary observations
1.25,4,0.0001,floor,1.400000000000475e-05,2.6000000000000002e-05,0.00025060977869753576,1.400000000000475e-05,2.6000000000000002e-05,0.00025060977869753576,0.0,0.0,0.0,robustness only; not primary observations
0.8,16,0.01,ceiling,2.466666666666673e-05,6.733333333333333e-05,0.011940981923102372,2.466666666666673e-05,6.666666666666667e-05,0.011940981923102372,0.0,-6.666666666666648e-07,0.0,robustness only; not primary observations
1.1,16,0.0001,ceiling,4.1333333333333035e-05,9.333333333333334e-06,0.0001687884997474911,4.1333333333333035e-05,9.333333333333334e-06,0.0001687884997474911,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,0.0001,floor,5.3333333333335784e-06,3.3333333333333333e-06,0.00023170775694864265,5.3333333333335784e-06,3.3333333333333333e-06,0.00023170775694864265,0.0,0.0,0.0,robustness only; not primary observations
0.5,4,0.003,floor,6.0666666666667086e-05,0.00011166666666666667,0.005148427763997505,6.0666666666667086e-05,0.00011166666666666667,0.005148427763997505,0.0,0.0,0.0,robustness only; not primary observations
0.5,1,0.01,nearest,0.002267333333333332,0.0033323333333333334,0.010870084368932753,0.002267333333333332,0.0033323333333333334,0.010870084368932753,0.0,0.0,0.0,robustness only; not primary observations
1.0,1,0.0001,floor,2.9333333333336765e-05,5.066666666666667e-05,0.00020087296715655474,2.9333333333336765e-05,5.066666666666667e-05,0.00020087296715655474,0.0,0.0,0.0,robustness only; not primary observations
1.25,4,0.003,floor,0.00023666666666666652,0.0009043333333333334,0.007756274632585836,0.00023666666666666652,0.0009033333333333334,0.007756274632585836,0.0,-1.0000000000000243e-06,0.0,robustness only; not primary observations
